benchmark,resolution,sample_id,fa2_ve_ms,fa2_ttft_ms,fa2_e2e_ms,fa2_tpot_ms,fa2_f_vision,fa2_prefill_ms,fa2_decode_ms,guide_ve_ms,guide_ttft_ms,guide_e2e_ms,guide_tpot_ms,guide_f_vision,guide_prefill_ms,guide_decode_ms,ve_speedup,ttft_speedup,e2e_speedup
chartqa,1344,chartqa_val_0,92.22,135.376,625.942,30.66,0.147329,132.543,490.565,87.055,127.86,607.982,30.008,0.143186,125.497,480.122,1.0593,1.0588,1.0295
chartqa,1344,chartqa_val_1,86.019,127.226,2019.284,30.033,0.042599,124.8,1892.058,86.977,135.066,2038.536,30.214,0.042666,132.912,1903.471,0.989,0.942,0.9906
chartqa,1344,chartqa_val_10,88.993,138.924,1907.781,28.53,0.046648,136.523,1768.857,87.584,146.643,2184.567,32.348,0.040092,143.05,2037.925,1.0161,0.9474,0.8733
chartqa,1344,chartqa_val_100,85.208,125.893,1612.307,27.526,0.052848,123.593,1486.414,86.904,127.554,1774.41,30.497,0.048976,125.319,1646.856,0.9805,0.987,0.9086
chartqa,1344,chartqa_val_101,89.787,136.918,2045.268,30.291,0.0439,133.803,1908.35,86.858,127.404,2031.217,30.219,0.042761,125.238,1903.813,1.0337,1.0747,1.0069
chartqa,1344,chartqa_val_102,84.988,125.582,395.476,26.989,0.214902,123.36,269.894,86.935,127.508,450.91,32.34,0.192799,125.309,323.402,0.9776,0.9849,0.8771
chartqa,1344,chartqa_val_103,91.451,137.15,2075.34,32.303,0.044066,134.139,1938.19,86.965,137.866,2070.797,32.216,0.041996,135.187,1932.932,1.0516,0.9948,1.0022
chartqa,1344,chartqa_val_104,85.176,126.174,411.213,28.504,0.207133,123.677,285.039,87.591,130.17,413.055,28.289,0.212057,126.536,282.886,0.9724,0.9693,0.9955
chartqa,1344,chartqa_val_105,85.418,137.626,1845.012,29.954,0.046297,134.973,1707.385,86.881,127.387,1906.294,31.209,0.045576,125.257,1778.907,0.9832,1.0804,0.9679
chartqa,1344,chartqa_val_106,85.517,126.507,1180.903,31.012,0.072416,124.059,1054.396,87.517,129.208,1208.268,31.737,0.072432,126.101,1079.059,0.9771,0.9791,0.9774
chartqa,1344,chartqa_val_107,85.355,133.054,2045.334,30.354,0.041732,130.369,1912.28,87.107,139.528,2055.773,30.417,0.042372,137.268,1916.245,0.9799,0.9536,0.9949
chartqa,1344,chartqa_val_108,85.286,125.986,520.552,32.88,0.163838,123.707,394.566,86.945,127.831,511.558,31.977,0.169961,125.561,383.727,0.9809,0.9856,1.0176
chartqa,1344,chartqa_val_109,85.256,125.896,1519.576,30.971,0.056105,123.622,1393.68,86.969,139.257,1502.329,30.29,0.057889,137.025,1363.071,0.9803,0.9041,1.0115
chartqa,1344,chartqa_val_11,85.036,128.147,1965.063,29.157,0.043274,125.923,1836.915,87.005,130.842,2094.145,31.164,0.041547,128.311,1963.303,0.9774,0.9794,0.9384
chartqa,1344,chartqa_val_110,90.293,144.171,706.504,31.241,0.127803,141.796,562.332,87.542,128.88,693.663,31.377,0.126203,126.452,564.783,1.0314,1.1186,1.0185
chartqa,1344,chartqa_val_111,85.922,129.977,2076.7,30.9,0.041374,127.575,1946.723,86.882,131.304,1962.746,29.071,0.044266,129.183,1831.442,0.989,0.9899,1.0581
chartqa,1344,chartqa_val_112,86.987,128.293,479.373,27.006,0.18146,125.446,351.081,87.133,128.047,533.152,31.162,0.16343,125.761,405.105,0.9983,1.0019,0.8991
chartqa,1344,chartqa_val_113,84.979,125.334,2003.813,29.817,0.042409,123.216,1878.479,87.143,129.112,1981.57,29.404,0.043977,126.106,1852.458,0.9752,0.9707,1.0112
chartqa,1344,chartqa_val_114,85.864,127.807,539.987,31.706,0.159012,124.52,412.18,86.956,135.131,520.006,32.073,0.167221,132.853,384.876,0.9874,0.9458,1.0384
chartqa,1344,chartqa_val_115,91.891,134.878,1989.778,29.443,0.046182,131.516,1854.9,87.3,132.992,2061.095,30.605,0.042356,130.798,1928.103,1.0526,1.0142,0.9654
chartqa,1344,chartqa_val_116,111.594,155.948,372.85,36.15,0.299299,151.518,216.902,86.955,136.008,295.635,26.604,0.294129,133.834,159.627,1.2834,1.1466,1.2612
chartqa,1344,chartqa_val_117,85.271,126.096,1280.092,30.368,0.066613,123.871,1153.996,86.758,127.137,1370.175,32.712,0.063319,125.016,1243.038,0.9829,0.9918,0.9343
chartqa,1344,chartqa_val_118,86.138,127.73,1219.256,34.11,0.070648,124.923,1091.526,86.923,127.554,1106.245,31.571,0.078575,125.341,978.691,0.991,1.0014,1.1022
chartqa,1344,chartqa_val_119,89.71,136.301,2178.797,32.421,0.041174,133.987,2042.496,86.924,127.769,1933.758,31.138,0.044951,125.362,1805.989,1.0321,1.0668,1.1267
chartqa,1344,chartqa_val_12,87.116,133.924,802.159,29.054,0.108602,130.091,668.235,86.895,127.388,778.782,28.322,0.111579,125.21,651.395,1.0025,1.0513,1.03
chartqa,1344,chartqa_val_120,86.498,127.856,1853.902,33.844,0.046657,125.492,1726.047,86.822,127.079,1764.027,32.097,0.049218,125.006,1636.948,0.9963,1.0061,1.0509
chartqa,1344,chartqa_val_121,87.061,128.04,2194.947,32.808,0.039664,125.809,2066.906,86.873,127.466,2064.74,30.75,0.042074,125.307,1937.274,1.0022,1.0045,1.0631
chartqa,1344,chartqa_val_122,88.618,136.706,963.483,31.799,0.091977,134.287,826.777,86.995,128.026,879.817,28.915,0.098879,125.558,751.792,1.0187,1.0678,1.0951
chartqa,1344,chartqa_val_123,85.282,128.25,2159.591,32.244,0.03949,126.01,2031.341,86.899,135.096,2066.922,30.664,0.042043,132.65,1931.826,0.9814,0.9493,1.0448
chartqa,1344,chartqa_val_124,85.453,128.571,986.107,30.626,0.086657,126.334,857.535,86.818,129.796,978.286,30.303,0.088745,127.574,848.49,0.9843,0.9906,1.008
