benchmark,resolution,max_new_tokens,iteration_idx,run_id,sample_id,num_input_text_tokens,num_visual_tokens_before_merger,num_visual_tokens_after_merger,actual_generated_tokens,image_preprocess_ms,processor_ms,visual_encoder_ms,visual_merger_ms,patch_embed_ms,window_attn_total_ms,full_attn_total_ms,llm_prefill_ms,ttft_ms,decode_loop_ms,tpot_ms,e2e_ms,request_total_ms,request_output_tok_s,decode_only_tok_s,f_vision,f_visual_prefill,f_decode
chartqa,1344,64,0,iter000,chartqa_val-00000-of-00001-0f11003c77497969_0,36,9216,2304,17,177.576,177.576,199.718,0.437,1.292,182.601,13.611,234.967,237.862,333.906,20.869,571.769,749.344,29.732,47.918,0.349299,0.760247,0.583989
chartqa,1344,64,1,iter001,chartqa_val-00000-of-00001-0f11003c77497969_1,34,9216,2304,64,183.433,183.433,198.17,0.434,1.245,181.115,13.631,233.405,235.954,1350.486,21.436,1586.439,1769.872,40.342,46.65,0.124915,0.27204,0.851268
chartqa,1344,64,2,iter002,chartqa_val-00000-of-00001-0f11003c77497969_2,28,9216,2304,64,146.481,146.481,199.104,0.436,1.322,181.92,13.592,594.523,600.668,4004.649,63.566,4605.317,4751.798,13.897,15.732,0.043234,0.172329,0.869571
chartqa,1344,64,3,iter003,chartqa_val-00000-of-00001-0f11003c77497969_3,30,9216,2304,64,109.398,109.398,203.216,0.436,1.297,186.108,13.638,604.953,611.431,1380.363,21.911,1991.794,2101.192,32.132,45.64,0.102027,0.40575,0.693025
chartqa,1344,64,4,iter004,chartqa_val-00000-of-00001-0f11003c77497969_4,46,9216,2304,33,173.656,173.656,200.513,0.436,1.268,183.533,13.636,597.195,599.411,703.537,21.986,1302.948,1476.605,25.327,45.484,0.153892,0.612233,0.539958
chartqa,1792,64,0,iter000,chartqa_val-00000-of-00001-0f11003c77497969_0,36,16384,4096,17,178.849,178.849,359.273,0.729,2.319,322.275,28.214,419.197,421.774,358.497,22.406,780.271,959.121,21.787,44.631,0.460447,0.997692,0.459452
chartqa,1792,64,1,iter001,chartqa_val-00000-of-00001-0f11003c77497969_1,34,16384,4096,64,182.465,182.465,359.48,0.732,2.252,322.252,28.105,419.172,421.44,1398.708,22.202,1820.148,2002.613,35.162,45.042,0.197501,0.427796,0.768458
chartqa,1792,64,2,iter002,chartqa_val-00000-of-00001-0f11003c77497969_2,28,16384,4096,64,189.654,189.654,359.059,0.733,2.274,321.762,28.126,784.94,787.207,4085.39,64.847,4872.597,5062.251,13.135,15.421,0.073689,0.234782,0.838442
chartqa,1792,64,3,iter003,chartqa_val-00000-of-00001-0f11003c77497969_3,30,16384,4096,53,168.646,168.646,350.762,0.73,2.286,314.173,28.101,765.322,767.685,1135.504,21.837,1903.189,2071.835,27.848,45.795,0.184303,0.586428,0.596632
chartqa,1792,64,4,iter004,chartqa_val-00000-of-00001-0f11003c77497969_4,46,16384,4096,31,167.286,167.286,355.155,0.731,2.274,318.053,28.119,767.844,770.095,661.829,22.061,1431.925,1599.211,21.649,45.329,0.248026,0.784258,0.462196
chartqa,448,64,0,iter000,chartqa_val-00000-of-00001-0f11003c77497969_0,36,1024,256,17,83.066,83.066,40.489,0.178,0.362,35.166,3.094,64.307,67.532,356.193,22.262,423.725,506.791,40.12,44.919,0.095556,0.247322,0.840624
chartqa,448,64,1,iter001,chartqa_val-00000-of-00001-0f11003c77497969_1,34,1024,256,64,79.748,79.748,39.457,0.117,0.327,34.406,3.004,63.245,66.091,1383.123,21.954,1449.214,1528.961,44.162,45.549,0.027226,0.070867,0.954395
chartqa,448,64,2,iter002,chartqa_val-00000-of-00001-0f11003c77497969_2,28,1024,256,61,75.709,75.709,38.91,0.117,0.326,34.012,2.909,433.002,435.867,4027.194,67.12,4463.061,4538.77,13.668,14.899,0.008718,0.105737,0.902339
chartqa,448,64,3,iter003,chartqa_val-00000-of-00001-0f11003c77497969_3,30,1024,256,58,95.117,95.117,37.859,0.113,0.334,33.048,2.916,419.623,422.545,1266.454,22.218,1688.999,1784.116,34.34,45.008,0.022415,0.270859,0.749825
chartqa,448,64,4,iter004,chartqa_val-00000-of-00001-0f11003c77497969_4,46,1024,256,31,75.405,75.405,39.308,0.118,0.316,34.288,2.996,420.548,423.073,658.268,21.942,1081.34,1156.745,28.668,45.574,0.036351,0.425265,0.608752
chartqa,896,64,0,iter000,chartqa_val-00000-of-00001-0f11003c77497969_0,36,4096,1024,17,91.89,91.89,98.334,0.198,0.685,90.201,5.779,121.994,124.534,353.524,22.095,478.057,569.948,35.561,45.259,0.205695,0.460883,0.739501
chartqa,896,64,1,iter001,chartqa_val-00000-of-00001-0f11003c77497969_1,34,4096,1024,64,99.556,99.556,97.292,0.196,0.682,89.25,5.773,120.979,123.239,1380.579,21.914,1503.818,1603.374,42.558,45.633,0.064697,0.145145,0.918049
chartqa,896,64,2,iter002,chartqa_val-00000-of-00001-0f11003c77497969_2,28,4096,1024,56,99.907,99.907,101.055,0.196,0.665,93.008,5.778,494.29,496.506,3968.277,72.15,4464.783,4564.691,12.543,13.86,0.022634,0.133342,0.888795
chartqa,896,64,3,iter003,chartqa_val-00000-of-00001-0f11003c77497969_3,30,4096,1024,64,87.828,87.828,100.89,0.195,0.694,92.738,5.788,485.723,488.142,1418.77,22.52,1906.912,1994.74,33.562,44.405,0.052908,0.307625,0.744014
chartqa,896,64,4,iter004,chartqa_val-00000-of-00001-0f11003c77497969_4,46,4096,1024,33,99.252,99.252,99.086,0.196,0.69,90.909,5.777,483.45,485.808,736.719,23.022,1222.527,1321.779,26.993,43.436,0.08105,0.476502,0.60262
docvqa,1344,64,0,iter000,docvqa_49153,44,9216,2304,31,206.578,206.578,197.684,0.435,1.278,180.733,13.625,232.884,235.254,637.496,21.25,872.75,1079.328,35.52,47.059,0.226507,0.493347,0.730445
docvqa,1344,64,1,iter001,docvqa_24580,27,9216,2304,16,129.897,129.897,197.097,0.434,1.259,180.225,13.601,232.058,234.194,320.279,21.352,554.473,684.37,28.856,46.834,0.355467,0.773987,0.577628
docvqa,1344,64,2,iter002,docvqa_57349,29,9216,2304,11,195.974,195.974,196.797,0.437,1.257,179.973,13.581,590.982,593.091,218.201,21.82,811.292,1007.266,13.559,45.829,0.242572,0.971018,0.268955
docvqa,1344,64,3,iter003,docvqa_24581,27,9216,2304,9,126.535,126.535,202.746,0.433,1.254,182.517,13.619,237.63,239.712,171.109,21.389,410.821,537.356,21.907,46.754,0.493514,1.071942,0.416505
docvqa,1344,64,4,iter004,docvqa_24582,28,9216,2304,9,131.891,131.891,196.957,0.437,1.24,180.145,13.587,591.77,593.84,172.926,21.616,766.766,898.657,11.738,46.262,0.256866,1.02864,0.225527
docvqa,1792,64,0,iter000,docvqa_49153,44,16384,4096,31,227.955,227.955,358.701,0.731,2.288,320.972,28.225,418.936,421.543,664.289,22.143,1085.832,1313.787,28.55,45.161,0.330346,0.716167,0.611779
docvqa,1792,64,1,iter001,docvqa_24580,27,16384,4096,16,173.341,173.341,360.737,0.731,2.321,323.929,28.169,420.584,423.155,333.363,22.224,756.518,929.859,21.15,44.996,0.476839,1.032786,0.440654
docvqa,1792,64,2,iter002,docvqa_57349,29,16384,4096,11,202.543,202.543,361.822,0.733,2.263,325.007,28.141,778.856,781.1,222.39,22.239,1003.49,1206.033,10.962,44.966,0.360563,1.13671,0.221617
