benchmark,resolution,max_new_tokens,sample_id,sdpa_ve_ms,sdpa_e2e_ms,sdpa_ttft_ms,sdpa_tpot_ms,sdpa_f_vision,ve_speedup_measured,e2e_speedup_measured,ttft_speedup_measured,tpot_speedup_measured,e2e_speedup_amdahl,tpot_speedup,method
chartqa,1792,1024,chartqa_val_0,385.819,796.785,448.986,21.737,0.48422,0.9956,,,,0.9979,1.0,amdahl
chartqa,1792,1024,chartqa_val_1,350.737,14913.893,413.172,22.8,0.023517,0.9998,,,,1.0,1.0,amdahl
chartqa,1792,1024,chartqa_val_2,356.533,5319.05,783.955,63.875,0.067029,0.9934,,,,0.9996,1.0,amdahl
chartqa,1792,1024,chartqa_val_3,357.428,1962.359,844.982,21.488,0.182142,0.9981,,,,0.9997,1.0,amdahl
chartqa,1792,1024,chartqa_val_4,387.863,1522.443,852.801,22.321,0.254764,0.9903,,,,0.9975,1.0,amdahl
chartqa,1792,1024,chartqa_val_5,480.978,1285.95,950.257,20.981,0.374026,1.0498,,,,1.0181,1.0,amdahl
chartqa,1792,1024,chartqa_val_6,354.089,1245.916,776.97,23.447,0.2842,0.9905,,,,0.9973,1.0,amdahl
chartqa,1792,1024,chartqa_val_7,353.841,1031.135,416.07,22.78,0.343157,1.022,,,,1.0075,1.0,amdahl
chartqa,1792,1024,chartqa_val_8,362.742,1544.613,860.008,22.084,0.234843,0.9928,,,,0.9983,1.0,amdahl
chartqa,1792,1024,chartqa_val_9,362.045,9747.021,424.783,23.018,0.037144,1.0218,,,,1.0008,1.0,amdahl
chartqa,1792,1024,chartqa_val_10,433.947,2655.48,909.829,23.913,0.163416,0.9963,,,,0.9994,1.0,amdahl
chartqa,1792,1024,chartqa_val_11,368.193,5530.182,843.074,23.792,0.066579,1.0044,,,,1.0003,1.0,amdahl
chartqa,1792,1024,chartqa_val_12,392.247,968.785,454.596,22.356,0.404886,1.0053,,,,1.0021,1.0,amdahl
chartqa,1792,1024,chartqa_val_13,367.6,4194.49,430.115,22.954,0.087639,1.0282,,,,1.0024,1.0,amdahl
chartqa,1792,1024,chartqa_val_14,366.493,1215.832,429.323,23.834,0.301434,1.0839,,,,1.0239,1.0,amdahl
chartqa,1792,1024,chartqa_val_15,381.372,4146.056,444.819,24.034,0.091984,1.0049,,,,1.0004,1.0,amdahl
chartqa,1792,1024,chartqa_val_16,366.277,1176.984,428.879,23.378,0.3112,1.0095,,,,1.0029,1.0,amdahl
