benchmark,resolution,max_new_tokens,sample_id,source,sdpa_ve_ms,sdpa_e2e_ms,sdpa_ttft_ms,sdpa_tpot_ms,sdpa_f_vision,fa2_ve_ms,fa2_e2e_ms,fa2_ttft_ms,fa2_tpot_ms,guide_ve_ms,guide_e2e_ms,guide_ttft_ms,guide_tpot_ms
chartqa,1792,1024,chartqa_val_0,approximated,385.819,796.785,448.986,21.737,0.48422,155.577,566.543,218.744,21.737,156.262,567.228,219.429,21.737
chartqa,1792,1024,chartqa_val_1,approximated,350.737,14913.893,413.172,22.8,0.023517,156.021,14719.177,218.456,22.8,156.057,14719.213,218.492,22.8
chartqa,1792,1024,chartqa_val_2,approximated,356.533,5319.05,783.955,63.875,0.067029,154.863,5117.38,582.285,63.875,155.889,5118.406,583.311,63.875
chartqa,1792,1024,chartqa_val_3,approximated,357.428,1962.359,844.982,21.488,0.182142,155.737,1760.668,643.291,21.488,156.026,1760.957,643.58,21.488
chartqa,1792,1024,chartqa_val_4,approximated,387.863,1522.443,852.801,22.321,0.254764,155.115,1289.695,620.053,22.321,156.642,1291.222,621.58,22.321
chartqa,1792,1024,chartqa_val_5,approximated,480.978,1285.95,950.257,20.981,0.374026,163.85,968.822,633.129,20.981,156.08,961.052,625.359,20.981
chartqa,1792,1024,chartqa_val_6,approximated,354.089,1245.916,776.97,23.447,0.2842,154.654,1046.481,577.535,23.447,156.14,1047.967,579.021,23.447
chartqa,1792,1024,chartqa_val_7,approximated,353.841,1031.135,416.07,22.78,0.343157,159.558,836.852,221.787,22.78,156.117,833.411,218.346,22.78
chartqa,1792,1024,chartqa_val_8,approximated,362.742,1544.613,860.008,22.084,0.234843,154.934,1336.805,652.2,22.084,156.053,1337.924,653.319,22.084
chartqa,1792,1024,chartqa_val_9,approximated,362.045,9747.021,424.783,23.018,0.037144,159.36,9544.336,222.098,23.018,155.953,9540.929,218.691,23.018
chartqa,1792,1024,chartqa_val_10,approximated,433.947,2655.48,909.829,23.913,0.163416,155.538,2377.071,631.42,23.913,156.123,2377.656,632.005,23.913
chartqa,1792,1024,chartqa_val_11,approximated,368.193,5530.182,843.074,23.792,0.066579,157.316,5319.305,632.197,23.792,156.624,5318.613,631.505,23.792
chartqa,1792,1024,chartqa_val_12,approximated,392.247,968.785,454.596,22.356,0.404886,156.866,733.404,219.215,22.356,156.042,732.58,218.391,22.356
chartqa,1792,1024,chartqa_val_13,approximated,367.6,4194.49,430.115,22.954,0.087639,160.254,3987.144,222.769,22.954,155.865,3982.755,218.38,22.954
chartqa,1792,1024,chartqa_val_14,approximated,366.493,1215.832,429.323,23.834,0.301434,169.244,1018.583,232.074,23.834,156.146,1005.485,218.976,23.834
chartqa,1792,1024,chartqa_val_15,approximated,381.372,4146.056,444.819,24.034,0.091984,156.947,3921.631,220.394,24.034,156.181,3920.865,219.628,24.034
chartqa,1792,1024,chartqa_val_16,approximated,366.277,1176.984,428.879,23.378,0.3112,157.789,968.496,220.391,23.378,156.307,967.014,218.909,23.378
chartqa,1792,1024,chartqa_val_17,approximated,364.78,3034.442,847.953,22.776,0.120213,156.483,2826.145,639.656,22.776,156.082,2825.744,639.255,22.776
chartqa,1792,1024,chartqa_val_18,approximated,394.14,1124.854,833.981,22.375,0.350392,159.347,890.061,599.188,22.375,155.991,886.705,595.832,22.375
chartqa,1792,1024,chartqa_val_19,approximated,363.452,1481.693,429.367,21.923,0.245295,154.345,1272.586,220.26,21.923,156.075,1274.316,221.99,21.923
chartqa,1792,1024,chartqa_val_20,approximated,389.982,846.585,452.577,23.177,0.460653,155.722,612.325,218.317,23.177,156.582,613.185,219.177,23.177
chartqa,1792,1024,chartqa_val_21,approximated,355.61,5313.75,832.601,21.441,0.066923,155.212,5113.352,632.203,21.441,155.938,5114.078,632.929,21.441
chartqa,1792,1024,chartqa_val_22,approximated,400.137,1351.24,463.594,22.76,0.296126,162.041,1113.144,225.498,22.76,156.069,1107.172,219.526,22.76
chartqa,1792,1024,chartqa_val_23,approximated,397.394,2696.801,460.711,22.361,0.147358,155.94,2455.347,219.257,22.361,156.012,2455.419,219.329,22.361
chartqa,1792,1024,chartqa_val_24,approximated,396.876,1021.391,459.449,22.478,0.388565,155.296,779.811,217.869,22.478,156.088,780.603,218.661,22.478
chartqa,1792,1024,chartqa_val_25,approximated,384.871,1204.625,447.165,21.041,0.319494,158.775,978.529,221.069,21.041,156.192,975.946,218.486,21.041
chartqa,1792,1024,chartqa_val_26,approximated,394.51,1212.347,457.108,23.601,0.32541,157.455,975.292,220.053,23.601,156.239,974.076,218.837,23.601
chartqa,1792,1024,chartqa_val_27,approximated,352.513,4484.964,414.756,21.65,0.078599,157.233,4289.684,219.476,21.65,155.906,4288.357,218.149,21.65
chartqa,1792,1024,chartqa_val_28,approximated,351.459,1401.998,827.169,21.29,0.250684,155.299,1205.838,631.009,21.29,156.038,1206.577,631.748,21.29
chartqa,1792,1024,chartqa_val_29,approximated,353.93,1825.998,416.006,22.381,0.193828,154.646,1626.714,216.722,22.381,156.151,1628.219,218.227,22.381
chartqa,1792,1024,chartqa_val_30,approximated,359.513,1364.391,421.617,22.447,0.263497,156.281,1161.159,218.385,22.447,156.138,1161.016,218.242,22.447
