benchmark,resolution,max_new_tokens,sample_id,source,sdpa_ve_ms,sdpa_prefill_ms,sdpa_ttft_ms,sdpa_decode_ms,sdpa_e2e_ms,sdpa_tpot_ms,sdpa_f_vision,fa2_ve_ms,fa2_prefill_ms,fa2_ttft_ms,fa2_e2e_ms,fa2_tpot_ms,guide_ve_ms,guide_prefill_ms,guide_ttft_ms,guide_e2e_ms,guide_tpot_ms
chartqa,1792,1024,chartqa_val_0,approximated,385.819,445.732,448.986,347.799,796.785,21.737,0.48422,155.577,223.328,225.773,573.572,21.737,156.262,222.847,225.423,573.222,21.737
chartqa,1792,1024,chartqa_val_1,approximated,350.737,410.53,413.172,14500.721,14913.893,22.8,0.023517,156.021,222.845,225.376,14726.097,22.8,156.057,222.342,224.646,14725.367,22.8
chartqa,1792,1024,chartqa_val_2,approximated,356.533,781.135,783.955,4535.095,5319.05,63.875,0.067029,154.863,222.737,225.191,4760.286,63.875,155.889,223.645,225.937,4761.032,63.875
chartqa,1792,1024,chartqa_val_3,approximated,357.428,842.542,844.982,1117.377,1962.359,21.488,0.182142,155.737,223.7,226.185,1343.562,21.488,156.026,223.743,226.416,1343.793,21.488
chartqa,1792,1024,chartqa_val_4,approximated,387.863,850.313,852.801,669.642,1522.443,22.321,0.254764,155.115,223.071,225.881,895.523,22.321,156.642,224.369,226.797,896.439,22.321
chartqa,1792,1024,chartqa_val_5,approximated,480.978,947.935,950.257,335.693,1285.95,20.981,0.374026,163.85,231.848,234.185,569.878,20.981,156.08,224.322,226.753,562.446,20.981
chartqa,1792,1024,chartqa_val_6,approximated,354.089,774.173,776.97,468.946,1245.916,23.447,0.2842,154.654,222.682,345.848,814.794,23.447,156.14,226.438,229.206,698.152,23.447
chartqa,1792,1024,chartqa_val_7,approximated,353.841,413.679,416.07,615.065,1031.135,22.78,0.343157,159.558,226.21,228.921,843.986,22.78,156.117,222.595,224.815,839.88,22.78
chartqa,1792,1024,chartqa_val_8,approximated,362.742,857.469,860.008,684.605,1544.613,22.084,0.234843,154.934,227.709,230.395,915.0,22.084,156.053,228.563,230.835,915.44,22.084
chartqa,1792,1024,chartqa_val_9,approximated,362.045,422.045,424.783,9322.238,9747.021,23.018,0.037144,159.36,225.508,227.772,9550.01,23.018,155.953,222.051,224.258,9546.496,23.018
chartqa,1792,1024,chartqa_val_10,approximated,433.947,906.323,909.829,1745.651,2655.48,23.913,0.163416,155.538,223.384,225.725,1971.376,23.913,156.123,224.043,226.354,1972.005,23.913
chartqa,1792,1024,chartqa_val_11,approximated,368.193,840.543,843.074,4687.108,5530.182,23.792,0.066579,157.316,224.984,227.206,4914.314,23.792,156.624,231.824,234.33,4921.438,23.792
chartqa,1792,1024,chartqa_val_12,approximated,392.247,451.866,454.596,514.189,968.785,22.356,0.404886,156.866,223.293,225.696,739.885,22.356,156.042,223.786,226.038,740.227,22.356
chartqa,1792,1024,chartqa_val_13,approximated,367.6,427.467,430.115,3764.375,4194.49,22.954,0.087639,160.254,226.708,230.522,3994.897,22.954,155.865,221.78,223.978,3988.353,22.954
chartqa,1792,1024,chartqa_val_14,approximated,366.493,426.936,429.323,786.509,1215.832,23.834,0.301434,169.244,236.013,239.212,1025.721,23.834,156.146,222.394,224.78,1011.289,23.834
chartqa,1792,1024,chartqa_val_15,approximated,381.372,441.085,444.819,3701.237,4146.056,24.034,0.091984,156.947,223.289,225.596,3926.833,24.034,156.181,222.616,224.989,3926.226,24.034
chartqa,1792,1024,chartqa_val_16,approximated,366.277,426.157,428.879,748.105,1176.984,23.378,0.3112,157.789,224.185,226.376,974.481,23.378,156.307,223.099,225.968,974.073,23.378
chartqa,1792,1024,chartqa_val_17,approximated,364.78,845.517,847.953,2186.489,3034.442,22.776,0.120213,156.483,227.382,229.642,2416.131,22.776,156.082,226.381,228.803,2415.292,22.776
chartqa,1792,1024,chartqa_val_18,approximated,394.14,831.62,833.981,290.873,1124.854,22.375,0.350392,159.347,227.692,230.053,520.926,22.375,155.991,225.401,227.621,518.494,22.375
chartqa,1792,1024,chartqa_val_19,approximated,363.452,423.542,429.367,1052.326,1481.693,21.923,0.245295,154.345,220.526,222.837,1275.163,21.923,156.075,222.196,224.41,1276.736,21.923
chartqa,1792,1024,chartqa_val_20,approximated,389.982,450.112,452.577,394.008,846.585,23.177,0.460653,155.722,222.364,225.795,619.803,23.177,156.582,222.614,225.0,619.008,23.177
chartqa,1792,1024,chartqa_val_21,approximated,355.61,830.09,832.601,4481.149,5313.75,21.441,0.066923,155.212,223.103,225.55,4706.699,21.441,155.938,223.794,225.917,4707.066,21.441
chartqa,1792,1024,chartqa_val_22,approximated,400.137,460.837,463.594,887.646,1351.24,22.76,0.296126,162.041,228.195,230.437,1118.083,22.76,156.069,222.339,224.714,1112.36,22.76
chartqa,1792,1024,chartqa_val_23,approximated,397.394,457.357,460.711,2236.09,2696.801,22.361,0.147358,155.94,222.328,224.516,2460.606,22.361,156.012,222.168,224.481,2460.571,22.361
