benchmark,resolution,max_new_tokens,iteration_idx,run_id,sample_id,num_input_text_tokens,num_visual_tokens_before_merger,num_visual_tokens_after_merger,actual_generated_tokens,visual_encoder_ms,visual_merger_ms,llm_prefill_ms,ttft_ms,decode_loop_ms,tpot_ms,e2e_ms,request_total_ms,request_output_tok_s,decode_only_tok_s,f_vision,f_visual_prefill,f_decode
chartqa,1792,1024,0,iter000,chartqa_val-00000-of-00001-0f11003c77497969_0,36,16384,4096,17,361.417,0.729,421.312,424.278,358.845,22.428,783.123,964.552,21.708,44.588,0.461507,0.999497,0.458222
chartqa,1792,1024,1,iter001,chartqa_val-00000-of-00001-0f11003c77497969_1,34,16384,4096,637,359.957,0.731,419.895,422.104,13820.104,21.73,14242.208,14403.43,44.726,46.02,0.025274,0.054756,0.970362
chartqa,1792,1024,2,iter002,chartqa_val-00000-of-00001-0f11003c77497969_2,28,16384,4096,72,367.319,0.729,796.317,798.752,4334.602,61.051,5133.354,5312.564,14.026,16.38,0.071555,0.226682,0.8444
chartqa,1792,1024,3,iter003,chartqa_val-00000-of-00001-0f11003c77497969_3,30,16384,4096,53,365.05,0.732,788.318,790.723,1111.536,21.376,1902.259,2092.541,27.862,46.782,0.191903,0.606315,0.584324
chartqa,1792,1024,4,iter004,chartqa_val-00000-of-00001-0f11003c77497969_4,46,16384,4096,31,356.165,0.732,783.002,785.281,663.363,22.112,1448.644,1601.029,21.399,45.224,0.245861,0.786367,0.45792
chartqa,1792,256,0,iter000,chartqa_val-00000-of-00001-0f11003c77497969_0,36,16384,4096,17,357.067,0.732,417.162,420.163,347.94,21.746,768.103,950.545,22.132,45.985,0.464869,1.007976,0.452986
chartqa,1792,256,1,iter001,chartqa_val-00000-of-00001-0f11003c77497969_1,34,16384,4096,256,354.562,0.729,414.526,416.746,5517.638,21.638,5934.384,6087.162,43.138,46.215,0.059747,0.129599,0.929774
chartqa,1792,256,2,iter002,chartqa_val-00000-of-00001-0f11003c77497969_2,28,16384,4096,72,366.414,0.733,788.385,790.822,4295.887,60.505,5086.709,5268.381,14.155,16.527,0.072034,0.227023,0.844532
chartqa,1792,256,3,iter003,chartqa_val-00000-of-00001-0f11003c77497969_3,30,16384,4096,53,355.094,0.73,779.799,782.122,1130.919,21.748,1913.041,2087.351,27.705,45.98,0.185618,0.593241,0.591163
chartqa,1792,256,4,iter004,chartqa_val-00000-of-00001-0f11003c77497969_4,46,16384,4096,31,357.833,0.731,793.07,795.782,658.612,21.954,1454.394,1631.147,21.315,45.55,0.246036,0.791328,0.452843
chartqa,1792,32,0,iter000,chartqa_val-00000-of-00001-0f11003c77497969_0,36,16384,4096,17,351.271,0.731,411.102,413.709,342.325,21.395,756.034,951.714,22.486,46.739,0.464623,1.008385,0.45279
chartqa,1792,32,1,iter001,chartqa_val-00000-of-00001-0f11003c77497969_1,34,16384,4096,32,357.853,0.73,417.914,420.181,688.135,22.198,1108.317,1277.975,28.873,45.049,0.32288,0.699951,0.620883
chartqa,1792,32,2,iter002,chartqa_val-00000-of-00001-0f11003c77497969_2,28,16384,4096,32,358.437,0.732,782.446,784.709,3441.811,111.026,4226.52,4394.407,7.571,9.007,0.084807,0.269934,0.814337
chartqa,1792,32,3,iter003,chartqa_val-00000-of-00001-0f11003c77497969_3,30,16384,4096,32,355.684,0.731,777.711,780.329,672.462,21.692,1452.791,1625.762,22.027,46.099,0.244828,0.78015,0.462876
chartqa,1792,32,4,iter004,chartqa_val-00000-of-00001-0f11003c77497969_4,46,16384,4096,31,353.217,0.728,774.14,776.436,5692.758,189.759,6469.194,6642.975,4.792,5.27,0.0546,0.174265,0.879979
chartqa,1792,64,0,iter000,chartqa_val-00000-of-00001-0f11003c77497969_0,36,16384,4096,17,355.482,0.732,415.232,417.832,338.62,21.164,756.452,935.62,22.473,47.251,0.469934,1.018854,0.447643
chartqa,1792,64,1,iter001,chartqa_val-00000-of-00001-0f11003c77497969_1,34,16384,4096,64,351.967,0.732,411.634,413.82,1328.036,21.08,1741.856,1889.902,36.742,47.438,0.202064,0.438383,0.762426
chartqa,1792,64,2,iter002,chartqa_val-00000-of-00001-0f11003c77497969_2,28,16384,4096,64,355.947,0.73,767.704,769.9,4059.471,64.436,4829.371,4983.118,13.252,15.519,0.073705,0.23267,0.84058
chartqa,1792,64,3,iter003,chartqa_val-00000-of-00001-0f11003c77497969_3,30,16384,4096,53,353.213,0.73,764.612,766.937,1089.266,20.947,1856.203,2025.89,28.553,47.739,0.190288,0.602211,0.586825
chartqa,1792,64,4,iter004,chartqa_val-00000-of-00001-0f11003c77497969_4,46,16384,4096,31,355.639,0.73,767.832,770.097,631.149,21.038,1401.246,1574.01,22.123,47.532,0.253802,0.801766,0.45042
docvqa,1792,1024,0,iter000,docvqa_49153,44,16384,4096,31,349.653,0.73,409.483,412.259,640.873,21.362,1053.132,1280.725,29.436,46.811,0.332013,0.720837,0.60854
docvqa,1792,1024,1,iter001,docvqa_24580,27,16384,4096,16,354.389,0.729,414.016,416.53,326.141,21.743,742.671,928.579,21.544,45.992,0.477182,1.03465,0.439146
docvqa,1792,1024,2,iter002,docvqa_57349,29,16384,4096,11,349.393,0.729,769.736,772.161,214.664,21.466,986.826,1208.49,11.147,46.584,0.354057,1.134069,0.21753
docvqa,1792,1024,3,iter003,docvqa_24581,27,16384,4096,9,351.64,0.731,411.357,413.695,167.473,20.934,581.169,758.137,15.486,47.769,0.605057,1.312867,0.288167
docvqa,1792,1024,4,iter004,docvqa_24582,28,16384,4096,10,354.162,0.726,769.053,771.275,199.972,22.219,971.247,1143.391,10.296,45.006,0.364647,1.156467,0.205892
docvqa,1792,256,0,iter000,docvqa_49153,44,16384,4096,31,352.776,0.73,412.658,415.19,646.115,21.537,1061.305,1297.252,29.209,46.431,0.332398,0.72122,0.608793
docvqa,1792,256,1,iter001,docvqa_24580,27,16384,4096,16,353.111,0.73,412.584,414.833,326.533,21.769,741.366,896.997,21.582,45.937,0.476298,1.032817,0.440447
docvqa,1792,256,2,iter002,docvqa_57349,29,16384,4096,11,353.362,0.731,767.27,769.66,216.247,21.625,985.907,1215.64,11.157,46.243,0.358413,1.136651,0.219338
docvqa,1792,256,3,iter003,docvqa_24581,27,16384,4096,9,356.165,0.73,415.529,417.738,174.606,21.826,592.343,780.381,15.194,45.818,0.601281,1.302782,0.294771
docvqa,1792,256,4,iter004,docvqa_24582,28,16384,4096,10,351.162,0.728,775.746,778.072,194.338,21.593,972.411,1166.292,10.284,46.311,0.361125,1.158881,0.199852
docvqa,1792,32,0,iter000,docvqa_49153,44,16384,4096,31,355.4,0.729,415.17,417.741,663.624,22.121,1081.365,1306.568,28.667,45.206,0.328659,0.712591,0.613691
docvqa,1792,32,1,iter001,docvqa_24580,27,16384,4096,16,345.424,0.729,405.004,407.413,324.583,21.639,731.996,927.394,21.858,46.213,0.471893,1.02518,0.443422
docvqa,1792,32,2,iter002,docvqa_57349,29,16384,4096,11,349.633,0.73,765.499,767.892,222.185,22.219,990.077,1208.868,11.11,45.007,0.353137,1.126308,0.224412
docvqa,1792,32,3,iter003,docvqa_24581,27,16384,4096,9,357.068,0.733,416.802,419.121,178.322,22.29,597.442,772.128,15.064,44.863,0.597662,1.295306,0.298475
docvqa,1792,32,4,iter004,docvqa_24582,28,16384,4096,10,346.309,0.727,760.638,762.832,198.657,22.073,961.489,1146.037,10.401,45.304,0.360179,1.151283,0.206614
docvqa,1792,64,0,iter000,docvqa_49153,44,16384,4096,31,353.926,0.731,413.782,416.422,646.358,21.545,1062.78,1304.513,29.169,46.414,0.333019,0.722358,0.608177
docvqa,1792,64,1,iter001,docvqa_24580,27,16384,4096,16,347.036,0.73,406.87,409.125,313.266,20.884,722.391,907.597,22.149,47.883,0.480399,1.043625,0.433652
docvqa,1792,64,2,iter002,docvqa_57349,29,16384,4096,11,397.592,0.732,826.25,828.478,222.423,22.242,1050.901,1268.66,10.467,44.959,0.378334,1.164564,0.21165
docvqa,1792,64,3,iter003,docvqa_24581,27,16384,4096,9,353.889,0.734,413.934,416.161,172.915,21.614,589.076,761.381,15.278,46.266,0.600753,1.303437,0.293536
docvqa,1792,64,4,iter004,docvqa_24582,28,16384,4096,10,356.788,0.727,779.597,782.057,194.809,21.645,976.865,1156.094,10.237,46.199,0.365238,1.163297,0.199422
