attn_impl,benchmark,resolution,max_new_tokens,sample_id,visual_encoder_ms,window_attn_ms,full_attn_ms,llm_prefill_ms,decode_loop_ms,ttft_ms,tpot_ms,e2e_ms,f_vision,actual_generated_tokens
fa2,docvqa,1792,64,docvqa_49153,159.129,112.831,34.765,228.293,1644.004,230.608,29.357,1874.612,0.084886,57.0
fa2,docvqa,1792,64,docvqa_24580,155.524,111.382,34.81,221.95,472.872,224.648,31.525,697.52,0.222967,16.0
fa2,docvqa,1792,64,docvqa_57349,155.305,111.344,34.734,224.141,319.98,226.671,31.998,546.652,0.284102,11.0
fa2,docvqa,1792,64,docvqa_24581,154.96,111.485,34.806,221.272,244.151,223.764,30.519,467.915,0.331172,9.0
fa2,docvqa,1792,64,docvqa_24582,166.498,115.626,34.842,234.263,243.974,237.725,27.108,481.698,0.345648,10.0
fa2,docvqa,1792,64,docvqa_39079,155.766,111.746,34.88,227.471,971.072,229.766,26.974,1200.838,0.129714,37.0
fa2,docvqa,1792,64,docvqa_57357,155.492,111.772,34.785,224.206,700.991,226.937,29.208,927.928,0.167569,25.0
fa2,docvqa,1792,64,docvqa_24426,157.898,112.522,34.829,228.03,477.096,230.304,26.505,707.399,0.22321,19.0
fa2,docvqa,1792,64,docvqa_49168,156.31,111.675,34.822,224.466,736.066,226.848,32.003,962.914,0.16233,24.0
fa2,docvqa,1792,64,docvqa_24423,157.281,113.345,34.802,225.577,777.34,228.237,32.389,1005.577,0.156409,25.0
fa2,docvqa,1792,64,docvqa_49172,157.4,113.055,34.804,225.645,950.963,228.323,30.676,1179.286,0.133471,32.0
fa2,docvqa,1792,64,docvqa_57364,159.224,111.343,34.771,231.982,424.976,234.334,26.561,659.31,0.241501,17.0
fa2,docvqa,1792,64,docvqa_57366,169.84,111.813,34.888,238.54,460.406,240.867,28.775,701.273,0.242188,17.0
fa2,docvqa,1792,64,docvqa_57368,155.183,111.283,34.749,222.958,468.198,225.233,29.262,693.431,0.22379,17.0
fa2,docvqa,1792,64,docvqa_49177,156.593,111.849,34.887,224.362,816.314,226.931,32.653,1043.245,0.150102,26.0
fa2,docvqa,1792,64,docvqa_57370,154.977,111.246,34.798,221.209,775.934,223.836,29.844,999.77,0.155012,27.0
fa2,docvqa,1792,64,docvqa_57371,158.223,111.574,34.824,226.185,857.443,228.597,29.567,1086.039,0.145688,30.0
fa2,docvqa,1792,64,docvqa_57372,156.789,111.606,34.862,225.131,727.397,227.488,30.308,954.884,0.164197,25.0
fa2,docvqa,1792,64,docvqa_49181,155.179,111.452,34.826,223.052,1242.04,225.355,31.847,1467.394,0.105752,40.0
fa2,docvqa,1792,64,docvqa_57373,159.242,111.602,34.814,225.667,701.457,228.431,31.884,929.887,0.171248,23.0
fa2,docvqa,1792,64,docvqa_57374,156.7,111.601,34.865,224.15,542.945,226.635,31.938,769.58,0.203617,18.0
fa2,docvqa,1792,64,docvqa_57375,155.606,111.674,34.822,222.046,936.019,224.703,30.194,1160.722,0.13406,32.0
fa2,docvqa,1792,64,docvqa_57376,156.53,111.082,34.74,222.535,454.933,224.954,25.274,679.886,0.230229,19.0
fa2,docvqa,1792,64,docvqa_49187,172.226,115.416,34.758,238.232,843.587,242.295,29.089,1085.882,0.158605,30.0
fa2,docvqa,1792,64,docvqa_16424,155.08,111.122,34.782,221.039,523.968,223.307,27.577,747.275,0.207528,20.0
fa2,docvqa,1792,64,docvqa_57386,155.028,111.385,34.851,221.149,582.826,223.634,32.379,806.46,0.192232,19.0
fa2,docvqa,1792,64,docvqa_57387,158.365,113.664,34.808,226.77,653.778,229.063,34.409,882.841,0.179381,20.0
fa2,docvqa,1792,64,docvqa_57388,156.818,112.577,34.832,223.188,593.83,225.748,31.254,819.577,0.191341,20.0
fa2,docvqa,1792,64,docvqa_16429,154.797,111.265,34.798,221.098,343.479,223.796,28.623,567.275,0.272877,13.0
fa2,docvqa,1792,64,docvqa_16430,166.426,122.791,34.857,232.532,356.091,234.88,29.674,590.971,0.281614,13.0
fa2,docvqa,1792,64,docvqa_57391,172.164,111.67,34.835,241.139,303.27,244.065,30.327,547.335,0.314549,11.0
fa2,docvqa,1792,64,docvqa_57395,158.563,111.826,34.87,225.548,378.962,229.445,27.069,608.407,0.26062,15.0
fa2,docvqa,1792,64,docvqa_16437,163.616,115.251,34.823,230.079,663.055,232.359,31.574,895.414,0.182726,22.0
fa2,docvqa,1792,64,docvqa_16440,165.834,112.314,34.842,232.661,520.066,236.429,28.893,756.495,0.219214,19.0
fa2,docvqa,1792,64,docvqa_57402,160.609,111.636,34.837,227.159,841.371,229.892,31.162,1071.263,0.149925,28.0
fa2,docvqa,1792,64,docvqa_57403,166.303,111.453,34.865,232.936,1007.601,238.06,32.503,1245.662,0.133506,32.0
fa2,docvqa,1792,64,docvqa_57404,156.203,111.271,34.805,227.157,821.508,229.723,30.426,1051.23,0.14859,28.0
fa2,docvqa,1792,64,docvqa_16444,157.295,113.081,34.775,224.183,757.282,226.832,32.925,984.114,0.159834,24.0
fa2,docvqa,1792,64,docvqa_57407,156.093,111.803,34.769,222.895,643.609,225.627,32.18,869.236,0.179575,21.0
fa2,docvqa,1792,64,docvqa_16447,157.565,111.264,34.763,223.965,841.764,226.594,33.671,1068.358,0.147483,26.0
fa2,docvqa,1792,64,docvqa_57409,156.467,111.195,34.776,222.627,264.189,225.146,26.419,489.334,0.319754,11.0
fa2,docvqa,1792,64,docvqa_16450,155.554,111.629,34.964,223.187,321.812,225.485,32.181,547.297,0.284222,11.0
fa2,docvqa,1792,64,docvqa_57410,155.412,111.37,34.825,221.676,464.869,224.392,29.054,689.261,0.225475,17.0
