source_stage,benchmark,resolution,max_new_tokens,iteration_idx,run_id,sample_id,num_visual_tokens_before_merger,num_visual_tokens_after_merger,actual_generated_tokens,image_preprocess_ms,processor_ms,visual_encoder_ms,visual_merger_ms,patch_embed_ms,window_attn_total_ms,full_attn_total_ms,llm_prefill_ms,ttft_ms,decode_loop_ms,tpot_ms,e2e_ms,request_total_ms,request_output_tok_s,decode_only_tok_s,f_vision,f_visual_prefill,f_decode
stage8_breakdown,docvqa,1792,64,0,iter000,docvqa_49153,16384,4096,31,233.417,233.417,356.864,0.733,2.311,319.33,28.151,416.74,419.777,653.02,21.767,1072.797,1306.214,28.896,45.94,0.332648,0.721109,0.608708
stage8_breakdown,docvqa,1792,64,1,iter001,docvqa_24580,16384,4096,16,167.201,167.201,366.478,0.73,2.294,328.817,28.295,426.193,428.626,334.26,22.284,762.886,930.087,20.973,44.875,0.480383,1.039043,0.438152
stage8_breakdown,docvqa,1792,64,2,iter002,docvqa_57349,16384,4096,11,221.52,221.52,361.957,0.732,2.319,324.596,28.133,777.752,780.542,213.344,21.334,993.886,1215.405,11.068,46.873,0.364184,1.14672,0.214656
stage8_breakdown,docvqa,1792,64,3,iter003,docvqa_24581,16384,4096,9,170.635,170.635,359.219,0.733,2.269,322.035,28.154,418.54,420.804,172.991,21.624,593.795,764.431,15.157,46.245,0.604955,1.309811,0.291332
stage8_breakdown,docvqa,1792,64,4,iter004,docvqa_24582,16384,4096,10,185.515,185.515,358.208,0.727,2.285,321.379,28.14,779.885,782.113,194.712,21.635,976.825,1162.34,10.237,46.222,0.366707,1.165094,0.199332
stage5_res1792,docvqa,1792,64,0,iter000,docvqa_49153,16384,4096,31,227.955,227.955,358.701,0.731,2.288,320.972,28.225,418.936,421.543,664.289,22.143,1085.832,1313.787,28.55,45.161,0.330346,0.716167,0.611779
stage5_res1792,docvqa,1792,64,1,iter001,docvqa_24580,16384,4096,16,173.341,173.341,360.737,0.731,2.321,323.929,28.169,420.584,423.155,333.363,22.224,756.518,929.859,21.15,44.996,0.476839,1.032786,0.440654
stage5_res1792,docvqa,1792,64,2,iter002,docvqa_57349,16384,4096,11,202.543,202.543,361.822,0.733,2.263,325.007,28.141,778.856,781.1,222.39,22.239,1003.49,1206.033,10.962,44.966,0.360563,1.13671,0.221617
stage5_res1792,docvqa,1792,64,3,iter003,docvqa_24581,16384,4096,9,179.767,179.767,363.246,0.732,2.267,325.719,28.165,422.978,425.215,180.052,22.506,605.267,785.034,14.869,44.432,0.600141,1.29897,0.297475
stage5_res1792,docvqa,1792,64,4,iter004,docvqa_24582,16384,4096,10,167.356,167.356,361.305,0.729,2.301,324.474,28.139,782.323,784.525,196.164,21.796,980.689,1148.044,10.197,45.88,0.36842,1.166147,0.200027
