sample_id,benchmark,merged_h,merged_w,n_visual_tokens,is_boundary,fa2_n_out,guide_n_out,tok_match,fa2_ve_ms,guide_ve_ms,ve_speedup,fa2_ttft_ms,guide_ttft_ms,ttft_speedup,fa2_e2e_ms,guide_e2e_ms,e2e_speedup,fa2_tpot_ms,guide_tpot_ms,fa2_anls,guide_anls,fa2_relaxed_acc,guide_relaxed_acc
docvqa_16424,docvqa,61,77,4697,True,20,20,True,206.626,901.891,0.2291,296.16,985.313,0.3006,821.578,1575.698,0.5214,27.654,31.073,0.5036,0.5036,-1,-1
docvqa_16429,docvqa,79,61,4819,True,13,13,True,202.094,872.906,0.2315,287.399,957.843,0.3,613.903,1260.452,0.487,27.209,25.217,0.0,0.0,-1,-1
docvqa_16430,docvqa,61,77,4697,True,13,13,True,197.198,194.576,1.0135,278.794,275.323,1.0126,653.745,641.205,1.0196,31.246,30.49,0.0,0.0,-1,-1
docvqa_16437,docvqa,79,61,4819,True,22,20,False,203.58,201.087,1.0124,286.167,298.705,0.958,873.405,800.796,1.0907,27.964,26.426,0.0,0.0,-1,-1
docvqa_16440,docvqa,79,61,4819,True,19,19,True,202.22,198.342,1.0196,282.677,279.269,1.0122,837.485,844.143,0.9921,30.823,31.382,0.0,0.0,-1,-1
docvqa_16444,docvqa,61,77,4697,True,24,24,True,198.962,196.565,1.0122,288.713,274.679,1.0511,931.423,975.049,0.9553,27.944,30.451,0.0,0.0,-1,-1
docvqa_16447,docvqa,61,77,4697,True,26,26,True,200.534,201.611,0.9947,288.328,290.098,0.9939,997.561,1044.074,0.9555,28.369,30.159,0.0,0.0,-1,-1
docvqa_16450,docvqa,61,77,4697,True,11,11,True,194.067,196.84,0.9859,272.23,275.219,0.9891,547.649,552.89,0.9905,27.542,27.767,0.5085,0.5085,-1,-1
docvqa_24423,docvqa,81,62,5022,True,25,25,True,212.727,208.779,1.0189,305.172,301.957,1.0106,1020.271,1044.13,0.9771,29.796,30.924,0.0,0.0,-1,-1
docvqa_24426,docvqa,81,62,5022,True,19,19,True,218.237,877.67,0.2487,304.506,965.007,0.3155,833.111,1538.218,0.5416,29.367,31.845,0.6591,0.6591,-1,-1
docvqa_24580,docvqa,38,29,1102,True,15,15,True,52.741,683.69,0.0771,99.814,867.785,0.115,479.9,1266.072,0.379,27.149,28.449,0.5217,0.5217,-1,-1
docvqa_24581,docvqa,38,29,1102,True,32,32,True,44.33,42.987,1.0312,76.145,71.706,1.0619,1029.709,916.159,1.1239,30.76,27.24,0.0,0.0,-1,-1
docvqa_24582,docvqa,38,29,1102,True,9,9,True,44.782,43.048,1.0403,79.777,73.634,1.0834,304.328,278.841,1.0914,28.069,25.651,0.0,0.0,-1,-1
docvqa_39079,docvqa,53,49,2597,True,37,37,True,108.03,751.176,0.1438,170.76,809.544,0.2109,1191.406,1784.994,0.6675,28.351,27.096,0.5442,0.5442,-1,-1
docvqa_49153,docvqa,63,81,5103,True,55,53,False,548.806,1919.26,0.2859,1360.629,2711.053,0.5019,2965.426,4231.987,0.7007,29.718,29.249,0.0,0.0,-1,-1
docvqa_49168,docvqa,59,30,1770,True,25,25,True,74.36,913.132,0.0814,118.734,961.649,0.1235,784.35,1675.93,0.468,27.734,29.762,0.0,0.0,-1,-1
docvqa_49172,docvqa,59,30,1770,True,11,32,False,67.069,67.943,0.9871,105.132,106.372,0.9883,384.416,1054.974,0.3644,27.928,30.6,0.7451,0.0,-1,-1
docvqa_49177,docvqa,59,30,1770,True,27,27,True,66.996,67.868,0.9872,102.879,104.226,0.9871,874.12,903.865,0.9671,29.663,30.755,0.0,0.0,-1,-1
docvqa_49181,docvqa,59,30,1770,True,25,25,True,66.811,67.988,0.9827,102.251,104.468,0.9788,813.081,850.065,0.9565,29.618,31.067,0.6897,0.6897,-1,-1
docvqa_49187,docvqa,59,30,1770,True,30,30,True,66.811,67.814,0.9852,100.563,101.441,0.9913,950.259,922.813,1.0297,29.3,28.323,0.0,0.0,-1,-1
docvqa_57349,docvqa,85,61,5185,True,11,11,True,219.559,838.734,0.2618,306.804,926.015,0.3313,587.194,1231.997,0.4766,28.039,30.598,0.0,0.0,-1,-1
docvqa_57357,docvqa,85,61,5185,True,17,17,True,243.071,218.858,1.1106,330.683,306.744,1.078,764.253,800.632,0.9546,27.098,30.868,0.0,0.0,-1,-1
docvqa_57364,docvqa,85,61,5185,True,18,18,True,222.843,217.02,1.0268,310.154,304.713,1.0179,773.298,798.0,0.969,27.244,29.017,0.0,0.0,-1,-1
docvqa_57366,docvqa,85,61,5185,True,17,17,True,220.723,217.125,1.0166,307.574,304.709,1.0094,777.446,790.065,0.984,29.367,30.335,0.0,0.0,-1,-1
docvqa_57368,docvqa,84,59,4956,True,17,17,True,215.411,891.906,0.2415,303.319,980.187,0.3095,740.823,1500.043,0.4939,27.344,32.491,0.0,0.0,-1,-1
docvqa_57370,docvqa,84,59,4956,True,14,18,False,206.483,204.088,1.0117,292.077,289.719,1.0081,669.689,716.433,0.9348,29.047,25.101,0.0,0.0,-1,-1
docvqa_57371,docvqa,84,59,4956,True,30,30,True,206.751,226.796,0.9116,290.494,314.117,0.9248,1121.138,1085.258,1.0331,28.643,26.591,0.0,0.0,-1,-1
docvqa_57372,docvqa,84,59,4956,True,25,25,True,200.721,203.455,0.9866,283.911,288.247,0.985,977.198,1036.756,0.9426,28.887,31.188,0.0,0.0,-1,-1
docvqa_57373,docvqa,84,59,4956,True,19,19,True,209.002,204.227,1.0234,291.315,286.3,1.0175,782.014,802.956,0.9739,27.261,28.703,0.0,0.0,-1,-1
docvqa_57374,docvqa,84,60,5040,False,18,18,True,219.394,880.38,0.2492,307.626,964.535,0.3189,774.699,1403.562,0.552,27.475,25.825,0.0,0.0,-1,-1
docvqa_57375,docvqa,84,60,5040,False,32,32,True,209.224,209.425,0.999,295.726,293.781,1.0066,1174.488,1154.429,1.0174,28.347,27.763,0.0,0.0,-1,-1
docvqa_57376,docvqa,84,60,5040,False,19,19,True,214.165,211.714,1.0116,298.464,295.915,1.0086,790.82,819.782,0.9647,27.353,29.104,0.0,0.0,-1,-1
docvqa_57386,docvqa,84,60,5040,False,19,19,True,210.844,205.08,1.0281,300.269,287.991,1.0426,814.589,843.656,0.9655,28.573,30.87,0.0,0.0,-1,-1
docvqa_57387,docvqa,84,60,5040,False,20,20,True,213.434,209.276,1.0199,310.765,294.234,1.0562,837.286,837.633,0.9996,27.712,28.6,0.0,0.0,-1,-1
